job_id,method,alteration,angle_degrees,metric,metric_label,direction,value,solver_evidence_disposition
mean_0.5__spateo__angle_5,spateo,mean_0.5,5.0,mean_spatial_error,Mean spatial error,lower_is_better,0.023157972575806613,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_10,spateo,mean_0.5,10.0,mean_spatial_error,Mean spatial error,lower_is_better,0.022938598891222985,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_30,spateo,mean_0.5,30.0,mean_spatial_error,Mean spatial error,lower_is_better,0.022831598266249687,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_45,spateo,mean_0.5,45.0,mean_spatial_error,Mean spatial error,lower_is_better,0.022696422538432313,fixed_schedule_complete_no_convergence_claim
mean_0.5__paste__angle_1,paste,mean_0.5,1.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.0,positive_convergence_evidence
mean_0.5__paste__angle_5,paste,mean_0.5,5.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,2.842170943040401e-14,positive_convergence_evidence
mean_0.5__paste__angle_10,paste,mean_0.5,10.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.0,positive_convergence_evidence
mean_0.5__paste__angle_30,paste,mean_0.5,30.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,5.684341886080802e-14,positive_convergence_evidence
mean_0.5__paste__angle_45,paste,mean_0.5,45.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,8.526512829121202e-14,positive_convergence_evidence
mean_0.5__spateo__angle_1,spateo,mean_0.5,1.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.0003355956949917527,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_5,spateo,mean_0.5,5.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00033109557190869054,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_10,spateo,mean_0.5,10.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00032689388785911433,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_30,spateo,mean_0.5,30.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00032512502937720456,fixed_schedule_complete_no_convergence_claim
mean_0.5__spateo__angle_45,spateo,mean_0.5,45.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.00032551380746781433,fixed_schedule_complete_no_convergence_claim
mean_0.5__paste__angle_1,paste,mean_0.5,1.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9840474148185773,positive_convergence_evidence
mean_0.5__paste__angle_5,paste,mean_0.5,5.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9840474148185773,positive_convergence_evidence
