SampleID	data_type	title	filename	expected_bytes	md5	url
Xenium_V1_hLymphNode_nondiseased_section	output_bundle	Xenium Output Bundle	Xenium_V1_hLymphNode_nondiseased_section_outs.zip	7378404737	4e9ef0a40b0fc00e619cf310f349f1bd	https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLymphNode_nondiseased_section/Xenium_V1_hLymphNode_nondiseased_section_outs.zip
Xenium_V1_hLymphNode_nondiseased_section	panel_json	Panel JSON	Xenium_V1_hLymphNode_nondiseased_section_gene_panel.json	191613	63def3df82416665113467cfbd3d2b21	https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLymphNode_nondiseased_section/Xenium_V1_hLymphNode_nondiseased_section_gene_panel.json
Xenium_V1_hLymphNode_nondiseased_section	analysis_summary	Analysis Summary	Xenium_V1_hLymphNode_nondiseased_section_analysis_summary.html	9807088	8fae4b57cd7e1fbab7bab1a91323c262	https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLymphNode_nondiseased_section/Xenium_V1_hLymphNode_nondiseased_section_analysis_summary.html
