configuration_id,density_name,gap,target_index,target_slice,target_z,seed,n_obs,n_genes,mean_per_gene_spot_pearson,median_per_gene_spot_pearson,gene_mean_pearson,log1p_gene_mean_pearson,gene_variance_pearson,gene_zero_fraction_pearson,library_size_pearson,relative_error_gene_mean,zero_pattern_jaccard,donor_supported
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,0,5,0.1,32026,12097,1122,0.1218244653479548,0.0585430660893364,0.9933518876470449,0.995211093305927,0.9785820141196836,0.99604171335804,0.1032813208078474,0.110795225027843,0.8582908728161732,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,1,8,0.4,32027,14975,1122,0.1092877511132777,0.0480393914563527,0.9764808222218092,0.9730456759495942,0.9700451176911142,0.9695861686031938,0.1358573917263757,0.4704753416482265,0.862532534615596,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,2,11,0.6198209509757062,32028,7644,1122,0.1260424843636208,0.068491925148806,0.9852601582138144,0.9847462858717094,0.9560823748993882,0.9867563962700876,0.1694014787175891,0.4249558043817923,0.8686834043133881,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,3,14,0.8315371239389605,32029,11137,1122,0.1297581023804221,0.0708116865764652,0.9959176445095403,0.996226505797692,0.9920907904443608,0.995895909190762,0.1330208107306847,0.1172267547864952,0.8559202584768605,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,4,17,1.048082473034429,32030,8524,1122,0.1097911357032465,0.0544114661589104,0.9726897536605226,0.9762098708759178,0.9497680722871152,0.9805335130061412,0.1496272732851185,0.5584655428451357,0.8789025341755646,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,5,20,1.267426870587095,32031,11869,1122,0.1174204083537979,0.0658878384980529,0.9854591187688122,0.984145808883268,0.976696525915512,0.984360591336333,0.115457278436696,0.369278741978355,0.8615627705844061,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,6,23,1.5048299989751572,32032,8844,1122,0.1192732407424306,0.0669421540764608,0.9939998542775828,0.9933893365346672,0.9909973461141084,0.99338329535471,0.1474997084949096,0.3348930697192215,0.8639889963349073,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,7,26,1.970855827266864,32033,9135,1122,0.1567124818330049,0.1146126060240255,0.9951313934156728,0.9955515869498934,0.9862305428222228,0.9959626277904682,0.2549960879968641,0.1346261597547489,0.8683816403036495,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,8,29,2.13729412231904,32034,8129,1122,0.1844320710633769,0.1464775804083555,0.9667377831696916,0.96146504090677,0.97177426183683,0.9644477371502248,0.4205391210026937,1.3469739090378392,0.8569515494750589,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,9,32,2.348386946229994,32035,9731,1122,0.1748259037796388,0.1234728775556659,0.9834408160265654,0.9880502067397814,0.9587533923824684,0.9905319219651706,0.3919556685487266,0.1796068958167016,0.8571904983488572,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,10,35,2.6581191686244674,32036,10401,1122,0.1845752153587132,0.1449372797557201,0.9883335059217804,0.9911127166526924,0.974788307587492,0.9930640107710468,0.4705593900852148,0.1431273800396626,0.8463220902609382,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,11,38,2.9657694261931926,32037,11621,1122,0.1583132419239894,0.1036085645274364,0.945788334440499,0.951570993832314,0.92686033400191,0.9543477984876042,0.425757162720389,0.544260572375296,0.8501722813707503,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,12,41,3.294805636610366,32038,12473,1122,0.1749994938939504,0.1308511054411648,0.957913701820614,0.966631373751973,0.9323601522504902,0.9681023099951144,0.4252131205600165,0.5675486616132148,0.8492539593309909,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,13,44,3.59143993666362,32039,17587,1122,0.156972789935936,0.105568894187237,0.9699916057500882,0.973446275230932,0.955625556164738,0.9752257176350374,0.3505398056091443,0.3206309570691675,0.8805431575412412,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,14,47,3.882708780757101,32040,20888,1122,0.1900443990745033,0.1476354060038552,0.9755794373521592,0.9818665643846424,0.9811279851046544,0.986417079145433,0.3510551956408255,0.1801383725223723,0.8586000080899089,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,15,50,4.177422050348054,32041,24075,1122,0.1798891479111319,0.141191494337522,0.9879929657813596,0.9869051892185268,0.973511298504721,0.9867232996354224,0.3308793845384117,0.3901113727445784,0.8524393417599204,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,16,53,4.479026015191546,32042,24776,1122,0.1777489144915152,0.1381192005197112,0.9816975964740274,0.9830531736010852,0.9847444982235368,0.9842298702916528,0.3392255692610083,0.2753845967823603,0.8711770311703675,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,17,56,4.791846418988289,32043,22963,1122,0.1618218644047545,0.1237225047794225,0.9862966828115302,0.984381591502851,0.9851986150045448,0.9850699966602672,0.286362527305336,0.3164829454004289,0.8644712997901487,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,18,59,5.113621212334258,32044,23905,1122,0.1873694962956276,0.1543702026887158,0.9640956390059396,0.9718690339356828,0.9782371540891572,0.9724847169222788,0.3383015423500863,0.6430884405481175,0.8649827966424026,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,19,62,5.383801203001265,32045,28827,1122,0.1878818505771683,0.1466733018582955,0.9470452565028415,0.9581593470064768,0.9294830413398,0.965106662291635,0.3363356620025223,0.3095584742944835,0.8646744203542209,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,20,65,5.6477504745482365,32046,19805,1122,0.134136626092128,0.0896491504404104,0.9211341928471212,0.9025986791475594,0.9283239230499868,0.8963128167703474,0.2691433045283788,2.773125718681831,0.893740578167035,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,21,68,5.929325985384948,32047,28530,1122,0.1834737536635161,0.1452893662785029,0.9902219991593888,0.9907399886331206,0.9928558077900984,0.9913110785495942,0.3480242010012748,0.1702213965028593,0.8773118700444087,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,22,71,6.104251618282508,32048,26292,1122,0.1519801554956596,0.1015329971762349,0.855021151335378,0.8704377787456908,0.8428926042886518,0.894939499202011,0.3614745516540192,1.3713066930458568,0.891591425305754,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,23,74,6.272687784632539,32049,27487,1122,0.1464627271225944,0.0970716056808289,0.8016150261261884,0.8345167280576614,0.773698481186667,0.8671608088489617,0.3802861222799107,0.5005122833912954,0.8938589440582919,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,24,77,6.496263394726392,32050,30864,1122,0.2050493249937881,0.1702557784581834,0.960827002977516,0.9666601307945344,0.9676428891262616,0.9666474616046542,0.4024398317310666,0.6675888311751254,0.8701319755337115,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,25,80,6.757410850582466,32051,37068,1122,0.1986014467472513,0.1611303928606305,0.9799066937202864,0.9808978043707742,0.9263331644427154,0.9830326568938984,0.3625776771375847,0.3641557055240859,0.8691769698715952,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,26,83,7.123150291571466,32052,30500,1122,0.1767721173515553,0.1271943342177024,0.8527061140191696,0.8650204501805975,0.8275839255659329,0.8963245973569591,0.4244542440524298,0.7610924708829684,0.9035339831752438,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,27,86,7.463723138174608,32053,30109,1122,0.1713667236613891,0.1320562934254154,0.8940747373713726,0.907335086288639,0.8924123243219775,0.9277449854594614,0.3694478825850995,0.5963428217129177,0.8826985054460446,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,28,89,7.829530186905023,32054,28552,1122,0.1985444252606905,0.1659255536258755,0.9639542353744648,0.9680461694604062,0.94459838050976,0.9739242587860952,0.395072958161353,0.8551157788098213,0.8650087012256777,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,29,92,8.10849157920948,32055,30741,1122,0.1910355121114549,0.1584242845410683,0.9771588322505056,0.9852230398709866,0.9503792639474324,0.9872372926618412,0.3826195381620203,0.229876812372852,0.8801499726619216,False
