slice_id,method,factor,simulation_id,nominal_level,stability_ari,stability_nmi,partition_change_ari
151676,GraphST,sparsity,sparsity_neg_0_25,-0.250000000000,0.598240768246,0.697502727942,0.401759231754
151676,GraphST,sparsity,baseline,0.000000000000,1.000000000000,1.000000000000,0.000000000000
151676,GraphST,sparsity,sparsity_pos_0_25,0.250000000000,0.562146629728,0.684048712208,0.437853370272
151676,GraphST,sparsity,sparsity_pos_0_50,0.500000000000,0.520427432597,0.666418713136,0.479572567403
151676,GraphST,sparsity,sparsity_pos_1,1.000000000000,0.391928580436,0.584908509701,0.608071419564
151508,STAGATE_mclust,mean,mean_0_50,0.500000000000,0.680597680743,0.764884732413,0.319402319257
151508,STAGATE_mclust,mean,mean_0_67,0.670000000000,0.938659911720,0.929811582179,0.061340088280
151508,STAGATE_mclust,mean,mean_0_80,0.800000000000,0.864009816810,0.861258721205,0.135990183190
151508,STAGATE_mclust,mean,baseline,1.000000000000,1.000000000000,1.000000000000,0.000000000000
151508,STAGATE_mclust,mean,mean_1_25,1.250000000000,0.867583221502,0.861201634124,0.132416778498
151508,STAGATE_mclust,mean,mean_1_50,1.500000000000,0.935111210069,0.920705319302,0.064888789931
151508,STAGATE_mclust,mean,mean_2,2.000000000000,0.629126675058,0.772667897260,0.370873324942
151508,STAGATE_mclust,variance,variance_0_50,0.500000000000,0.938740032514,0.923381781623,0.061259967486
151508,STAGATE_mclust,variance,variance_0_67,0.670000000000,0.939142051067,0.927821569897,0.060857948933
151508,STAGATE_mclust,variance,variance_0_80,0.800000000000,0.948700533162,0.934425512483,0.051299466838
151508,STAGATE_mclust,variance,baseline,1.000000000000,1.000000000000,1.000000000000,0.000000000000
151508,STAGATE_mclust,variance,variance_1_25,1.250000000000,0.971754523459,0.963228153278,0.028245476541
151508,STAGATE_mclust,variance,variance_1_50,1.500000000000,0.971759548936,0.964903572019,0.028240451064
151508,STAGATE_mclust,variance,variance_2,2.000000000000,0.969344456119,0.961409267836,0.030655543881
151508,STAGATE_mclust,sparsity,sparsity_neg_1,-1.000000000000,0.100726794107,0.121041152936,0.899273205893
151508,STAGATE_mclust,sparsity,sparsity_neg_0_50,-0.500000000000,0.207735272511,0.322696104607,0.792264727489
151508,STAGATE_mclust,sparsity,sparsity_neg_0_25,-0.250000000000,0.419367487049,0.527671732616,0.580632512951
151508,STAGATE_mclust,sparsity,baseline,0.000000000000,1.000000000000,1.000000000000,0.000000000000
151508,STAGATE_mclust,sparsity,sparsity_pos_0_25,0.250000000000,0.743463544399,0.751529584729,0.256536455601
151508,STAGATE_mclust,sparsity,sparsity_pos_0_50,0.500000000000,0.723335427014,0.733547816541,0.276664572986
