slice_id,simulation_id,alteration_type,method,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,CHAOS,PAS,n_true_clusters,n_predicted_clusters,status,source_set,alteration_value,plot_group,raw_level,level
151508,mean_0_50,mean,GraphST,0.307940958902,0.534665922943,0.533540852150,0.518088309591,0.552339494035,0.534665922943,0.055088226929,0.014840182648,7,7,ok,frozen_canonical,,mean,0.500000000000,0.500000000000
151508,mean_0_50,mean,STAGATE_mclust,0.435850566503,0.590690966766,0.589744013555,0.596570962835,0.584925749678,0.590690966766,0.057442754957,0.059360730594,7,7,ok,frozen_canonical,,mean,0.500000000000,0.500000000000
151508,mean_0_50,mean,Leiden_unsupervised,0.270776695647,0.377038667211,0.375804169139,0.370088283148,0.384255109093,0.377038667211,0.064477200982,0.383561643836,7,6,ok,frozen_canonical,,mean,0.500000000000,0.500000000000
151508,mean_0_67,mean,GraphST,0.507072112126,0.633671778271,0.632814813062,0.634153533271,0.633190754677,0.633671778271,0.055072936492,0.011872146119,7,7,ok,frozen_canonical,,mean,0.670000000000,0.670000000000
151508,mean_0_67,mean,STAGATE_mclust,0.442950225626,0.604207933273,0.603297731402,0.613855348079,0.594859066022,0.604207933273,0.056737227188,0.055707762557,7,7,ok,frozen_canonical,,mean,0.670000000000,0.670000000000
151508,mean_0_67,mean,Leiden_unsupervised,0.287871140090,0.373381055132,0.372087686514,0.354796149340,0.394020613944,0.373381055132,0.063099427477,0.326027397260,7,6,ok,frozen_canonical,,mean,0.670000000000,0.670000000000
151508,mean_0_80,mean,GraphST,0.512041733399,0.643756958694,0.642922906924,0.643707125413,0.643806799692,0.643756958694,0.055073691849,0.011643835616,7,7,ok,frozen_canonical,,mean,0.800000000000,0.800000000000
151508,mean_0_80,mean,STAGATE_mclust,0.516448526504,0.632979155680,0.632115453022,0.629740182868,0.636251619072,0.632979155680,0.055870224864,0.056621004566,7,7,ok,frozen_canonical,,mean,0.800000000000,0.800000000000
151508,mean_0_80,mean,Leiden_unsupervised,0.229093282167,0.320640700358,0.319281113313,0.311868417785,0.329920762031,0.320640700358,0.063902827402,0.412557077626,7,6,ok,frozen_canonical,,mean,0.800000000000,0.800000000000
151508,mean_1_25,mean,GraphST,0.275705922049,0.504883905279,0.503662638314,0.480072052215,0.532400269099,0.504883905279,0.055235224824,0.016666666667,7,7,ok,frozen_canonical,,mean,1.250000000000,1.250000000000
151508,mean_1_25,mean,STAGATE_mclust,0.511462106847,0.631116724445,0.630248539201,0.627802105637,0.634466529540,0.631116724445,0.056204267205,0.052968036530,7,7,ok,frozen_canonical,,mean,1.250000000000,1.250000000000
151508,mean_1_25,mean,Leiden_unsupervised,0.253680689294,0.358503307574,0.357221621227,0.349062004102,0.368469539069,0.358503307574,0.064360237399,0.381506849315,7,6,ok,frozen_canonical,,mean,1.250000000000,1.250000000000
151508,mean_1_50,mean,GraphST,0.485302980699,0.633644370289,0.632786546451,0.633646697312,0.633642043283,0.633644370289,0.055073325563,0.013013698630,7,7,ok,frozen_canonical,,mean,1.500000000000,1.500000000000
151508,mean_1_50,mean,STAGATE_mclust,0.438065311249,0.601525405051,0.600609304396,0.611287987962,0.592069747306,0.601525405051,0.056781302383,0.055707762557,7,7,ok,frozen_canonical,,mean,1.500000000000,1.500000000000
151508,mean_1_50,mean,Leiden_unsupervised,0.263418258079,0.364539618476,0.363276226209,0.356667870394,0.372766671068,0.364539618476,0.064223562771,0.372146118721,7,6,ok,frozen_canonical,,mean,1.500000000000,1.500000000000
151508,mean_2,mean,GraphST,0.482629471345,0.627813786164,0.626942606449,0.627926219295,0.627701393290,0.627813786164,0.055083303352,0.011643835616,7,7,ok,frozen_canonical,,mean,2.000000000000,2.000000000000
151508,mean_2,mean,STAGATE_mclust,0.278187211945,0.516937704764,0.515752094547,0.493387790920,0.542848426321,0.516937704764,0.055879261811,0.054337899543,7,7,ok,frozen_canonical,,mean,2.000000000000,2.000000000000
