mode,alpha,alpha_stratum,support_variant,metric,metric_label,pca20_value,pca10_value,pca10_minus_pca20,supplementary_sensitivity_only,winner_ranking_authorized
diagonal_affine,1.25,extrapolation,all_spots_primary,batch_asw,Batch ASW,0.0369346961094,0.0699108525377,0.0329761564283,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.467551094943,0.310735507051,-0.156815587892,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.202713929659,0.0224314594295,-0.18028247023,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,24,154,130,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,domain_asw,Domain ASW,0.0267631794631,0.0450743322633,0.0183111528002,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.66715591249,0.693607495615,0.0264515831256,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,centroid_distance,Centroid distance,1.57796129887,1.53905575122,-0.0389055476552,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,covariance_distance,Covariance distance,0.153667088397,0.266987705639,0.113320617242,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0440803233782,0.0845338449163,0.0404535215381,True,False
diagonal_affine,1.25,extrapolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,batch_asw,Batch ASW,0.0369319891613,0.0699124538944,0.0329804647331,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.468065778629,0.310460943898,-0.15760483473,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_retrieval_top1,Paired retrieval top-1,0.203047091413,0.0224376731302,-0.180609418283,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_retrieval_median_rank,Paired retrieval median rank,24,154,130,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,domain_asw,Domain ASW,0.0268047324277,0.045020127046,0.0182153946182,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,domain_purity_k30,Domain purity (k=30),0.666929824561,0.693647276085,0.0267174515235,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,centroid_distance,Centroid distance,1.57794385889,1.53904941798,-0.0388944409092,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,covariance_distance,Covariance distance,0.153648658748,0.267039157752,0.113390499004,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,mmd2_rbf_biased,Biased RBF MMD²,0.0438133181365,0.083983842132,0.0401705239955,True,False
diagonal_affine,1.25,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,batch_asw,Batch ASW,0.043178917777,0.0819426396311,0.0387637218541,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.383009127344,0.219489948833,-0.163519178512,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.126003877042,0.0171697590695,-0.108834117973,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,51,226,175,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,domain_asw,Domain ASW,0.0280468565842,0.0452727394555,0.0172258828713,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.668369795994,0.694447521462,0.0260777254685,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,centroid_distance,Centroid distance,1.68139102734,1.65376482791,-0.0276261994313,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,covariance_distance,Covariance distance,0.166753149052,0.283453650061,0.116700501009,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.050871199132,0.0982836414883,0.0474124423563,True,False
diagonal_affine,1.5,extrapolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,batch_asw,Batch ASW,0.0432527215217,0.0820393876997,0.0387866661781,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.381782930137,0.219347546518,-0.16243538362,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_retrieval_top1,Paired retrieval top-1,0.129711751663,0.0182926829268,-0.111419068736,True,False
